file,strategy,original_tokens,minified_tokens,reduction_pct,semantic_similarity,processing_time_ms,original_chars,minified_chars
technical_doc.md,baseline,363,363,0.0,,0.002549000328144757,1860,1860
technical_doc.md,syntax_only,363,321,11.570247933884298,0.950228750705719,0.36978300022383337,1860,1753
technical_doc.md,syntax_stopwords,363,248,31.68044077134986,0.94024258852005,9.123332999934064,1860,1504
technical_doc.md,syntax_stopwords_simplify,363,243,33.057851239669425,0.9407365918159485,1.0859549997803697,1860,1461
technical_doc.md,all_strategies,363,276,23.96694214876033,0.8716039061546326,1547.390790999998,1860,1365
llm_prompt_guide.md,baseline,715,715,0.0,,0.0005229999260336626,3401,3401
llm_prompt_guide.md,syntax_only,715,650,9.090909090909092,0.9334377646446228,0.09152199982054299,3401,3241
llm_prompt_guide.md,syntax_stopwords,715,462,35.38461538461539,0.8584765791893005,1.1877250003635709,3401,2635
llm_prompt_guide.md,syntax_stopwords_simplify,715,452,36.78321678321678,0.8348291516304016,1.39039599980606,3401,2538
llm_prompt_guide.md,all_strategies,715,526,26.433566433566437,0.7569406628608704,20.17268100007641,3401,2445
migration_strategy.md,baseline,2548,2548,0.0,,0.0006410000423784368,10681,10681
migration_strategy.md,syntax_only,2548,2246,11.852433281004709,0.9562807083129883,0.33855999981824425,10681,9916
migration_strategy.md,syntax_stopwords,2548,1997,21.62480376766091,0.914835512638092,2.7349400002094626,10681,9470
migration_strategy.md,syntax_stopwords_simplify,2548,1985,22.09576138147567,0.914835512638092,3.5416250002526795,10681,9421
migration_strategy.md,all_strategies,2548,2291,10.08634222919937,0.9361467957496643,34.19274199995925,10681,9178
rag_retrieval_guide.md,baseline,3924,3924,0.0,,0.0006699997356918175,14489,14489
rag_retrieval_guide.md,syntax_only,3924,3519,10.321100917431194,0.9150847792625427,0.39812700015318114,14489,13528
rag_retrieval_guide.md,syntax_stopwords,3924,3181,18.934760448521917,0.8594646453857422,4.430264000347961,14489,13103
rag_retrieval_guide.md,syntax_stopwords_simplify,3924,3151,19.699286442405707,0.8594646453857422,5.51571400001194,14489,12973
rag_retrieval_guide.md,all_strategies,3924,3411,13.073394495412844,0.8432788252830505,207.89328299997578,14489,12227
file_with_json.md,baseline,2989,2989,0.0,,0.0007789999472151976,14096,14096
file_with_json.md,syntax_only,2989,2520,15.690866510538642,0.9531373381614685,0.3672339998956886,14096,12952
file_with_json.md,syntax_stopwords,2989,2218,25.79458012713282,0.8985270261764526,3.0231549999371055,14096,12361
file_with_json.md,syntax_stopwords_simplify,2989,2199,26.43024422883908,0.8985270261764526,3.7280259998624388,14096,12303
file_with_json.md,all_strategies,2989,2531,15.322850451656073,0.8790692090988159,22.003418000167585,14096,11989
engine_design.md,baseline,848,848,0.0,,0.0006700001904391684,3984,3984
engine_design.md,syntax_only,848,715,15.683962264150944,0.9241868853569031,0.141619000260107,3984,3665
engine_design.md,syntax_stopwords,848,559,34.08018867924528,0.8356038928031921,1.3686620000044059,3984,3265
engine_design.md,syntax_stopwords_simplify,848,553,34.7877358490566,0.8356038928031921,1.6186880002351245,3984,3206
engine_design.md,all_strategies,848,619,27.004716981132077,0.815126895904541,9.606675000213727,3984,3062
readme_example.md,baseline,491,491,0.0,,0.0005050001163908746,2299,2299
readme_example.md,syntax_only,491,444,9.572301425661914,0.9288390874862671,0.08200699994631577,2299,2174
readme_example.md,syntax_stopwords,491,346,29.531568228105908,0.8849825859069824,0.8014239997464756,2299,1857
readme_example.md,syntax_stopwords_simplify,491,336,31.568228105906314,0.8822494745254517,0.9077690001504379,2299,1804
readme_example.md,all_strategies,491,381,22.403258655804482,0.8367205262184143,4.568215999825043,2299,1745
api_documentation.md,baseline,473,473,0.0,,0.0006230002327356488,1966,1966
api_documentation.md,syntax_only,473,416,12.050739957716702,0.9154947400093079,0.08099900014713057,1966,1827
api_documentation.md,syntax_stopwords,473,359,24.101479915433405,0.911933958530426,0.7118820003597648,1966,1702
api_documentation.md,syntax_stopwords_simplify,473,352,25.581395348837212,0.911933958530426,0.8800300001894357,1966,1669
api_documentation.md,all_strategies,473,387,18.181818181818183,0.6831123232841492,5.683440999746381,1966,1594
tutorial_python_classes.md,baseline,1460,1460,0.0,,0.00048499987315153703,6596,6596
tutorial_python_classes.md,syntax_only,1460,1270,13.013698630136986,0.9721646308898926,0.19828900030915975,6596,6173
tutorial_python_classes.md,syntax_stopwords,1460,1033,29.246575342465754,0.9456061124801636,2.1704890000364685,6596,5189
tutorial_python_classes.md,syntax_stopwords_simplify,1460,994,31.917808219178085,0.9329796433448792,2.547688000049675,6596,4886
tutorial_python_classes.md,all_strategies,1460,1121,23.219178082191778,0.7916152477264404,15.034504000141169,6596,4730
git_reference.md,baseline,1697,1697,0.0,,0.0006230002327356488,6102,6102
git_reference.md,syntax_only,1697,1387,18.267530936947555,0.8986335396766663,0.15623099989170441,6102,5278
git_reference.md,syntax_stopwords,1697,1131,33.352975839717146,0.9139641523361206,1.4365780002663087,6102,5136
git_reference.md,syntax_stopwords_simplify,1697,1129,33.47083087802004,0.9139641523361206,1.8579249999675085,6102,5125
git_reference.md,all_strategies,1697,1417,16.499705362404242,0.907467246055603,9.850356999777432,6102,5477
